SAMPID	TISSUE_ABBRV	TISSUE_NAME
NA19121	LCL	Cells_EBV-transformed_lymphocytes
NA19129	LCL	Cells_EBV-transformed_lymphocytes
NA19130	LCL	Cells_EBV-transformed_lymphocytes
NA19131	LCL	Cells_EBV-transformed_lymphocytes
NA19137	LCL	Cells_EBV-transformed_lymphocytes
NA19138	LCL	Cells_EBV-transformed_lymphocytes
NA19141	LCL	Cells_EBV-transformed_lymphocytes
NA19143	LCL	Cells_EBV-transformed_lymphocytes
NA19144	LCL	Cells_EBV-transformed_lymphocytes
NA19146	LCL	Cells_EBV-transformed_lymphocytes
NA19147	LCL	Cells_EBV-transformed_lymphocytes
NA19149	LCL	Cells_EBV-transformed_lymphocytes
NA19152	LCL	Cells_EBV-transformed_lymphocytes
NA19153	LCL	Cells_EBV-transformed_lymphocytes
NA19159	LCL	Cells_EBV-transformed_lymphocytes
NA19160	LCL	Cells_EBV-transformed_lymphocytes
NA19171	LCL	Cells_EBV-transformed_lymphocytes
NA19172	LCL	Cells_EBV-transformed_lymphocytes
NA19175	LCL	Cells_EBV-transformed_lymphocytes
NA19184	LCL	Cells_EBV-transformed_lymphocytes
NA19185	LCL	Cells_EBV-transformed_lymphocytes
NA19189	LCL	Cells_EBV-transformed_lymphocytes
NA19190	LCL	Cells_EBV-transformed_lymphocytes
NA19197	LCL	Cells_EBV-transformed_lymphocytes
NA19198	LCL	Cells_EBV-transformed_lymphocytes
NA19200	LCL	Cells_EBV-transformed_lymphocytes
NA19201	LCL	Cells_EBV-transformed_lymphocytes
NA19204	LCL	Cells_EBV-transformed_lymphocytes
NA19206	LCL	Cells_EBV-transformed_lymphocytes
NA19207	LCL	Cells_EBV-transformed_lymphocytes
NA19209	LCL	Cells_EBV-transformed_lymphocytes
NA19210	LCL	Cells_EBV-transformed_lymphocytes
NA19213	LCL	Cells_EBV-transformed_lymphocytes
NA19214	LCL	Cells_EBV-transformed_lymphocytes
NA19222	LCL	Cells_EBV-transformed_lymphocytes
NA19223	LCL	Cells_EBV-transformed_lymphocytes
NA19225	LCL	Cells_EBV-transformed_lymphocytes
NA19235	LCL	Cells_EBV-transformed_lymphocytes
NA19236	LCL	Cells_EBV-transformed_lymphocytes
NA19247	LCL	Cells_EBV-transformed_lymphocytes
NA19248	LCL	Cells_EBV-transformed_lymphocytes
NA19256	LCL	Cells_EBV-transformed_lymphocytes
NA19257	LCL	Cells_EBV-transformed_lymphocytes
NA20502	LCL	Cells_EBV-transformed_lymphocytes
NA20503	LCL	Cells_EBV-transformed_lymphocytes
NA20504	LCL	Cells_EBV-transformed_lymphocytes
NA20505	LCL	Cells_EBV-transformed_lymphocytes
NA20506	LCL	Cells_EBV-transformed_lymphocytes
NA20507	LCL	Cells_EBV-transformed_lymphocytes
NA20508	LCL	Cells_EBV-transformed_lymphocytes
NA20509	LCL	Cells_EBV-transformed_lymphocytes
NA20510	LCL	Cells_EBV-transformed_lymphocytes
NA20512	LCL	Cells_EBV-transformed_lymphocytes
NA20513	LCL	Cells_EBV-transformed_lymphocytes
NA20514	LCL	Cells_EBV-transformed_lymphocytes
NA20515	LCL	Cells_EBV-transformed_lymphocytes
NA20516	LCL	Cells_EBV-transformed_lymphocytes
NA20517	LCL	Cells_EBV-transformed_lymphocytes
NA20518	LCL	Cells_EBV-transformed_lymphocytes
NA20519	LCL	Cells_EBV-transformed_lymphocytes
NA20520	LCL	Cells_EBV-transformed_lymphocytes
NA20521	LCL	Cells_EBV-transformed_lymphocytes
NA20524	LCL	Cells_EBV-transformed_lymphocytes
NA20525	LCL	Cells_EBV-transformed_lymphocytes
NA20527	LCL	Cells_EBV-transformed_lymphocytes
NA20528	LCL	Cells_EBV-transformed_lymphocytes
NA20529	LCL	Cells_EBV-transformed_lymphocytes
